"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Armenia","ARM","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.0067554526153","16.2463219840269","33.8071968014216","68.196981731533","62.1067515022976","34.508181981658","25.2977148374638","23.0552330403052","24.8263608463899","20.9900297358755","21.1648204095334","16.8494342906876","30.0416742163435","36.0298127613161","33.134328358209","28.0671204685769","30.7187342198283","31.4174296371651","31.1438474870017","35.6021865632164","39.3775997535049","33.4993270524899","28.8949726231956","28.1841763942931","25.7065427797135","28.2856776509809","32.1394395078606","29.2208628461043","29.7522782697985","30.8633936710509","22.6843582546568","27.9350171341541","21.0990206746464","","",
"American Samoa","ASM","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Antigua and Barbuda","ATG","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",
"Australia","AUS","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.59882337003851","10.2685916157584","9.88310508007145","10.3593033913841","9.94189761320411","9.3780860365329","8.85764479329722","9.21181377399024","8.05296643786885","8.11963507478418","7.95342111271786","7.53800609878247","7.05499769286546","7.46822945444335","7.14911090293039","6.82790290837525","6.88442211055276","5.97021677352492","4.95721997689344","4.78276287263965","5.36252132303759","6.62162162162162","5.61229979556133","7.32646268596864","7.44430210425498","5.34773183779806","5.97046339495562","6.31155069975467","6.13833769478044","6.04755628276217","5.71276651909284","5.7235063301626","6.26447808905797","6.07197767365944","",
"Austria","AUT","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.6339523601225","63.6035196084144","70.5196327407697","72.0245703057935","69.127832567944","67.7883503779457","64.7266763848396","65.4698081264108","67.111103313977","68.4677736938829","70.5535693879883","66.9938669954683","67.2330757292117","58.6499152457872","60.7401172215987","59.009157289921","58.8173472226515","60.2283203245037","60.8308028301746","63.2072604107864","58.4270610729952","57.405071946272","65.7562359682107","66.9699806893323","68.5121794675876","62.1617482656702","62.9618785500966","59.1315686164545","60.0711194018975","59.5468383759463","62.492075305273","60.1206964780372","56.6548217484255","60.0436946231339","",
"Azerbaijan","AZE","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.16136834830684","7.49680170575693","8.83975104994181","12.7342396724581","10.4091969722839","9.12931236798874","9.0009949084099","10.1686861487289","10.8400933437049","8.2856514084507","8.20364725386384","6.85819715340011","10.8015614138281","11.5991731654609","12.670161883738","13.1558237145855","10.2595444729658","10.8207076486474","10.3128032158204","12.2323510705957","18.4179583110636","13.1861633980487","7.92152427353402","6.37578145071508","5.25719831769654","6.63075178224238","7.85107406219942","7.17927631578947","7.00780847437473","5.99877262964099","4.13715701072023","4.57919460680604","5.49261338200351","","",
"Burundi","BDI","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.9932392125671","96.2761762901954","96.5624007621467","95.959595959596","95.4545454545455","95.7068690095847","97.4226471158194","97.2798117923835","97.778795511793","94.3262743628186","85.384463592712","88.1042079049869","93.9929559092095","84.2665980442615","82.4449083739272","82.7678009584201","83.9421021954537","79.8176967541129","79.4887925040559","75.0284673195172","68.0608365019012","59.5654186041387","","","",
"Belgium","BEL","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.26475191404763","1.36093193950178","1.60055382485289","1.43998644718638","1.64036631153105","1.65304805934846","1.57689325746725","1.6198799994926","1.79964656239857","1.76183827531533","2.02233014331286","2.05960837373623","1.81554545565317","1.5550041356493","1.90832442702767","1.87216956907419","1.92464563112535","1.91028580508956","2.08177822012109","1.92689426757181","1.76356773559171","1.57086557673838","1.99773613987766","2.04079188473837","2.01943621200634","2.03276524932576","1.73930311065425","1.61282874229375","1.74176095097216","1.26114581664798","1.46889497512716","1.34275618374558","1.71454181605937","2.03277177406639","",
"Benin","BEN","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","3.38983050847458","2.53164556962025","2.77777777777778","2.38095238095238","3.03030303030303","3.17460317460317","2.5","1.23456790123457","0.934579439252336","0","0","0.157205240174672","0.1875","0","0","0.729166666666667","0","0","0.303030303030303","1.81159420289855","0.302114803625378","0","0","0.0070778564206269","0.00621669626998224","","","",
"Burkina Faso","BFA","Electricity production from hydroelectric sources (% of total)","EG.ELC.HYRO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.89130434782609","6.70103092783505","9.95024875621891","21.8604651162791","33.7962962962963","38.6831275720165","27.007299270073","20.1954397394137","23.0769230769231","34.7222222222222","25.1282051282051","14.7540983606557","17.5342465753425","21.5730337078652","21.5189873417722","19.5357833655706","14.5985401459854","18.1372549019608","21.9354838709677","18.8571428571429","13.8823529411765","8.98138006571742","8.58407079646018","8.28125","6.01604278074866","4.92584745762712","8.05330243337196","6.98569856985698","5.06117908787542","6.74807197943445","7.19332048811818","7.59115361625822","4.91312162971839","","",
